"","Run","likelihood","AIC"
"1","ThreeRates.73",-195.537001094345,415.07400218869
"2","ThreeRates.56",-198.297558341317,420.595116682633
"3","ThreeRates.52",-198.300082746295,420.600165492589
"4","ThreeRates.67",-198.300332932084,420.600665864169
"5","ThreeRates.24",-198.306899654399,420.613799308797
"6","ThreeRates.57",-198.354742400374,420.709484800748
"7","ThreeRates.1",-198.996151143403,421.992302286806
"8","ThreeRates.88",-198.996222405714,421.992444811427
"9","ThreeRates.40",-200.046448680577,424.092897361153
"10","ThreeRates.77",-200.23168906874,424.46337813748
"11","ThreeRates.35",-200.577230225662,425.154460451324
"12","ThreeRates.64",-200.577231965172,425.154463930345
"13","ThreeRates.99",-201.341368630259,426.682737260519
"14","ThreeRates.43",-203.792315698448,431.584631396897
"15","ThreeRates.47",-203.792384522156,431.584769044311
"16","ThreeRates.44",-203.792584813626,431.585169627252
"17","ThreeRates.16",-203.792585670888,431.585171341777
"18","ThreeRates.28",-204.083979728082,432.167959456163
"19","ThreeRates.61",-204.08892206209,432.177844124179
"20","ThreeRates.90",-204.471311746228,432.942623492457
"21","ThreeRates.70",-204.536031123664,433.072062247328
"22","ThreeRates.3",-204.536031253537,433.072062507074
"23","ThreeRates.11",-204.536031306314,433.072062612628
"24","ThreeRates.75",-204.536031493422,433.072062986844
"25","ThreeRates.84",-204.536032397008,433.072064794017
"26","ThreeRates.65",-204.536211510381,433.072423020762
"27","ThreeRates.30",-204.536372658725,433.07274531745
"28","ThreeRates.82",-204.537103343245,433.074206686491
"29","ThreeRates.74",-204.784908167492,433.569816334984
"30","ThreeRates.93",-204.827831190694,433.655662381388
"31","ThreeRates.42",-205.205513695366,434.411027390732
"32","ThreeRates.76",-205.261814787151,434.523629574302
"33","ThreeRates.48",-205.747249523588,435.494499047176
"34","ThreeRates.71",-206.118341980132,436.236683960264
"35","ThreeRates.96",-206.302023075708,436.604046151416
"36","ThreeRates.58",-206.309256374,436.618512748
"37","ThreeRates.91",-206.312004722361,436.624009444722
"38","ThreeRates.69",-206.315104241411,436.630208482822
"39","ThreeRates.20",-206.323637260397,436.647274520795
"40","ThreeRates.92",-206.334929376833,436.669858753666
"41","ThreeRates.12",-207.357874004691,438.715748009382
"42","ThreeRates.83",-207.358205736453,438.716411472907
"43","ThreeRates.17",-207.358228215442,438.716456430885
"44","ThreeRates.81",-207.358263943218,438.716527886437
"45","ThreeRates.51",-207.358304650369,438.716609300738
"46","ThreeRates.46",-207.358327755399,438.716655510798
"47","ThreeRates.62",-207.359741549856,438.719483099713
"48","ThreeRates.79",-207.364334084211,438.728668168421
"49","ThreeRates.97",-207.369962676979,438.739925353958
"50","ThreeRates.5",-215.258566242691,454.517132485382
"51","ThreeRates.10",-215.258566243399,454.517132486798
"52","ThreeRates.45",-215.258566260993,454.517132521986
"53","ThreeRates.38",-215.258566546393,454.517133092786
"54","ThreeRates.87",-215.258572360387,454.517144720775
"55","ThreeRates.29",-215.258597317151,454.517194634303
"56","ThreeRates.15",-219.444040996418,462.888081992836
"57","ThreeRates.53",-219.444049606861,462.888099213723
"58","ThreeRates.63",-219.444050158846,462.888100317692
"59","ThreeRates.89",-219.444053210598,462.888106421197
"60","ThreeRates.19",-219.444054436831,462.888108873662
"61","ThreeRates.14",-219.444054968283,462.888109936566
"62","ThreeRates.23",-219.444055409792,462.888110819584
"63","ThreeRates.31",-219.444056929874,462.888113859749
"64","ThreeRates.78",-219.444057177507,462.888114355015
"65","ThreeRates.33",-219.444057528375,462.88811505675
"66","ThreeRates.85",-219.444058599216,462.888117198432
"67","ThreeRates.80",-219.444058911245,462.88811782249
"68","ThreeRates.2",-219.444059149243,462.888118298486
"69","ThreeRates.4",-219.444059150147,462.888118300294
"70","ThreeRates.59",-219.444059171957,462.888118343913
"71","ThreeRates.8",-219.444059243414,462.888118486828
"72","ThreeRates.27",-219.444059464159,462.888118928318
"73","ThreeRates.26",-219.444059569643,462.888119139286
"74","ThreeRates.95",-219.444061134178,462.888122268357
"75","ThreeRates.49",-219.444065190787,462.888130381574
"76","ThreeRates.18",-219.444065705831,462.888131411661
"77","ThreeRates.94",-219.444074730207,462.888149460414
"78","ThreeRates.41",-219.444078312369,462.888156624737
"79","ThreeRates.100",-219.444080461194,462.888160922388
"80","ThreeRates.66",-219.444082208822,462.888164417644
"81","ThreeRates.72",-219.444083057528,462.888166115055
"82","ThreeRates.7",-219.444083308224,462.888166616447
"83","ThreeRates.34",-219.444083608158,462.888167216317
"84","ThreeRates.25",-219.444084058462,462.888168116923
"85","ThreeRates.6",-219.444084541593,462.888169083185
"86","ThreeRates.98",-219.444084608816,462.888169217631
"87","ThreeRates.86",-219.44408521069,462.888170421381
"88","ThreeRates.9",-219.444088077144,462.888176154289
"89","ThreeRates.21",-219.444095956574,462.888191913148
"90","ThreeRates.39",-219.444148491893,462.888296983786
"91","ThreeRates.68",-219.444313398049,462.888626796099
"92","ThreeRates.22",-219.445234299741,462.890468599481
"93","ThreeRates.13",-219.847117222574,463.694234445149
"94","ThreeRates.37",-223.683665317511,471.367330635021
"95","ThreeRates.36",-223.694508863449,471.389017726898
"96","ThreeRates.32",-230.957034827917,485.914069655834
"97","ThreeRates.55",-231.245642489094,486.491284978189
"98","ThreeRates.60",-231.246520683406,486.493041366812
"99","ThreeRates.50",-231.249199930981,486.498399861961
"100","ThreeRates.54",-241.374464941854,506.748929883708
